cube;dimension;has_rules;measure dimension;data updated
Sales;Years;N;Measures;2025-01-30T12:49:32.492Z
Sales;Months;N;Measures;2025-01-30T12:49:32.492Z
Sales;Locations;N;Measures;2025-01-30T12:49:32.492Z
Sales;Products;N;Measures;2025-01-30T12:49:32.492Z
Sales;Measures;N;Measures;2025-01-30T12:49:32.492Z
Sales-Report;Years;N;Measures;2025-01-30T12:49:32.492Z
Sales-Report;Months;N;Measures;2025-01-30T12:49:32.492Z
Sales-Report;Locations;N;Measures;2025-01-30T12:49:32.492Z
Sales-Report;Products;N;Measures;2025-01-30T12:49:32.492Z
Sales-Report;Measures;N;Measures;2025-01-30T12:49:32.492Z
}Capabilities;}Features;N;}Groups;2025-01-30T12:49:32.492Z
}Capabilities;}Permissions;N;}Groups;2025-01-30T12:49:32.492Z
}Capabilities;}Groups;N;}Groups;2025-01-30T12:49:32.492Z
}ClientCAMAssociatedGroups;}CAMAssociatedGroups;N;}Groups;2025-01-30T12:49:32.492Z
}ClientCAMAssociatedGroups;}Groups;N;}Groups;2025-01-30T12:49:32.492Z
}ClientGroups;}Clients;N;}Groups;2025-01-30T12:49:32.667Z
}ClientGroups;}Groups;N;}Groups;2025-01-30T12:49:32.667Z
}ClientProperties;}Clients;N;}ClientProperties;2025-01-30T12:49:32.492Z
}ClientProperties;}ClientProperties;N;}ClientProperties;2025-01-30T12:49:32.492Z
}ClientSettings;}Clients;N;}ClientSettings;2025-01-30T12:49:32.492Z
}ClientSettings;}ClientSettings;N;}ClientSettings;2025-01-30T12:49:32.492Z
}CubeProperties;}Cubes;N;}CubeProperties;2025-01-30T12:49:32.667Z
}CubeProperties;}CubeProperties;N;}CubeProperties;2025-01-30T12:49:32.667Z
}CubeSecurityProperties;}Cubes;N;}CubeSecurityProperties;2025-01-30T12:49:32.667Z
}CubeSecurityProperties;}CubeSecurityProperties;N;}CubeSecurityProperties;2025-01-30T12:49:32.667Z
}DimensionProperties;}Dimensions;N;}DimensionProperties;2025-01-31T10:24:58.114Z
}DimensionProperties;}DimensionProperties;N;}DimensionProperties;2025-01-31T10:24:58.114Z
}ElementAttributes_Locations;Locations;N;}ElementAttributes_Locations;2025-01-30T12:49:32.492Z
}ElementAttributes_Locations;}ElementAttributes_Locations;N;}ElementAttributes_Locations;2025-01-30T12:49:32.492Z
}ElementAttributes_Products;Products;N;}ElementAttributes_Products;2025-01-30T12:49:32.492Z
}ElementAttributes_Products;}ElementAttributes_Products;N;}ElementAttributes_Products;2025-01-30T12:49:32.492Z
}ElementAttributes_}Clients;}Clients;N;}ElementAttributes_}Clients;2025-01-30T12:49:32.492Z
}ElementAttributes_}Clients;}ElementAttributes_}Clients;N;}ElementAttributes_}Clients;2025-01-30T12:49:32.492Z
}ElementAttributes_}Cultures;}Cultures;N;}ElementAttributes_}Cultures;2025-01-30T12:49:32.667Z
}ElementAttributes_}Cultures;}ElementAttributes_}Cultures;N;}ElementAttributes_}Cultures;2025-01-30T12:49:32.667Z
}ElementAttributes_}Groups;}Groups;N;}ElementAttributes_}Groups;2025-01-30T12:49:32.492Z
}ElementAttributes_}Groups;}ElementAttributes_}Groups;N;}ElementAttributes_}Groups;2025-01-30T12:49:32.492Z
}HierarchyProperties;}Dimensions;N;}HierarchyProperties;2025-01-30T12:49:32.667Z
}HierarchyProperties;}Hierarchies;N;}HierarchyProperties;2025-01-30T12:49:32.667Z
}HierarchyProperties;}HierarchyProperties;N;}HierarchyProperties;2025-01-30T12:49:32.667Z
}StatsByChore;}TimeIntervals;N;}StatsByProcess;2025-02-10T14:59:55.437Z
}StatsByChore;}Chores;N;}StatsByProcess;2025-02-10T14:59:55.437Z
}StatsByChore;}StatsByProcess;N;}StatsByProcess;2025-02-10T14:59:55.437Z
}StatsByClient;}StatsStatsByClient;Y;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByClient;}PerfClients;Y;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByClient;}TimeIntervals;Y;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCube;}StatsStatsByCube;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCube;}PerfCubes;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCube;}TimeIntervals;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCubeByClient;}PerfClients;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCubeByClient;}PerfCubes;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCubeByClient;}Cube Functions;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCubeByClient;}StatsStatsByCubeByClient;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByCubeByClient;}TimeIntervals;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsByProcess;}TimeIntervals;N;}StatsByProcess;2025-02-10T14:59:55.437Z
}StatsByProcess;}Processes;N;}StatsByProcess;2025-02-10T14:59:55.437Z
}StatsByProcess;}StatsByProcess;N;}StatsByProcess;2025-02-10T14:59:55.437Z
}StatsByRule;}Cubes;N;}RuleStats;2025-01-30T12:49:32.667Z
}StatsByRule;}LineNumber;N;}RuleStats;2025-01-30T12:49:32.667Z
}StatsByRule;}RuleStats;N;}RuleStats;2025-01-30T12:49:32.667Z
}StatsForServer;}StatsStatsForServer;N;}TimeIntervals;2025-02-10T15:18:55.159Z
}StatsForServer;}TimeIntervals;N;}TimeIntervals;2025-02-10T15:18:55.159Z
